Ticker,ExpirationYYMMDD,OptionType,Strike,TargetPrice,Intent,Label,ItemType
NVDA,260515.0,C,190.0,1.8,buy,RH-IRA-Buy-Close,option
MSFT,,,,,buy,,stock
META,,,,,buy,,stock
NVDA,,,,,buy,,stock
AMZN,,,,,buy,,stock
NKE,,,,,buy,,stock
PYPL,,,,,buy,,stock
NOW,,,,,buy,,stock
FREL,,,,,buy,,stock
LULU,260515.0,C,180.0,3.6,Sell,RH-Reopen,option
LULU,,,,175.0,sell,,stock
ORCL,,,,170.0,sell,,stock
IBIT,,,,,buy,,stock
IBIT,260529.0,C,47.0,1.2,sell,,option
BRK-B,,,,,buy,,stock
ARKK,,,,,buy,,stock
JD,,,,,buy,,stock
PYPL,,,,,buy,,stock
IBIT,260529.0,C,50.0,2.0,sell,IBIT-FD-TI Sell,option
